index,RSI_60_40,PIPS_sum,loss,profit,total_count,Profit_Percent
253,"68,68,68,80,76",62.05166667,0,2,2,100
254,"56,68,72,76,68",61.99833333,0,3,3,100
256,"60,64,64,76,72",61.90166667,0,2,2,100
259,"56,64,64,84,80",61.61,0,1,1,100
260,"40,32,40,36,36",61.56666667,1,3,4,75
262,"48,72,68,72,64",61.535,0,1,1,100
263,"76,76,80,76,72",61.37166667,0,1,1,100
264,"56,60,76,80,76",61.27,0,1,1,100
265,"28,32,28,24,24",61.185,1,4,5,80
266,"64,64,68,80,72",61.005,0,3,3,100
267,"56,64,72,72,72",60.625,1,4,5,80
268,"68,60,64,68,68",60.45333333,1,5,6,83
271,"60,60,52,56,16",60.27857143,0,1,1,100
273,"48,76,76,80,76",60.04833333,0,1,1,100
275,"48,32,28,28,28",59.73,0,2,2,100
276,"48,84,80,80,76",59.715,0,1,1,100
277,"24,20,20,12,16",59.44,0,1,1,100
278,"60,60,72,76,72",59.40595238,1,5,6,83
279,"48,68,76,76,72",59.25,0,2,2,100
280,"36,24,28,24,24",59.23,0,1,1,100
281,"56,64,64,80,72",59.035,0,1,1,100
282,"44,16,16,16,28",58.955,0,1,1,100
283,"24,24,20,20,28",58.85404762,1,4,5,80
288,"56,52,48,28,40",57.71166667,0,1,1,100
289,"36,36,40,16,32",57.71166667,0,1,1,100
290,"80,60,80,84,80",57.61166667,0,1,1,100
292,"56,52,64,72,72",57.26833333,0,2,2,100
295,"52,52,44,24,32",57.04666667,0,1,1,100
296,"32,28,20,20,24",56.975,0,3,3,100
297,"44,52,36,36,36",56.77,0,2,2,100
299,"56,48,48,80,72",56.43333333,0,1,1,100
301,"72,72,80,84,68",56.28666667,0,1,1,100
302,"52,52,20,12,20",56.13571429,0,1,1,100
303,"56,56,48,28,36",56.06,0,1,1,100
306,"32,32,36,24,32",55.15666667,0,2,2,100
307,"76,68,72,80,68",55.07666667,0,1,1,100
309,"36,36,24,24,24",54.91,0,1,1,100
311,"48,28,40,36,40",54.63,0,1,1,100
312,"76,80,84,84,76",54.54095238,1,3,4,75
313,"80,80,84,84,84",54.47785714,6,2,8,25
314,"48,36,28,24,28",54.39833333,0,2,2,100
315,"32,28,76,80,76",54.36166667,0,1,1,100
316,"52,60,48,80,72",54.35333333,0,1,1,100
318,"64,56,68,68,64",54.31166667,0,2,2,100
323,"52,52,28,24,24",53.96333333,0,1,1,100
324,"76,76,72,76,72",53.93642857,1,3,4,75
326,"48,16,16,16,16",53.7,0,1,1,100
327,"92,84,84,84,84",53.67,0,1,1,100
328,"32,28,24,16,24",53.46333333,0,2,2,100
329,"48,32,28,24,36",53.46166667,0,3,3,100
330,"40,40,48,16,16",53.42142857,0,1,1,100
332,"72,68,76,80,72",53.29833333,0,2,2,100
335,"56,68,76,76,72",52.875,0,2,2,100
336,"56,44,36,28,32",52.85833333,0,1,1,100
337,"40,40,48,64,64",52.735,0,1,1,100
338,"40,28,32,28,36",52.665,0,1,1,100
339,"56,48,56,60,60",52.66,1,6,7,85
340,"44,24,32,28,36",52.52,0,1,1,100
341,"28,28,16,16,24",52.44333333,0,1,1,100
344,"36,48,40,36,36",52.16666667,0,2,2,100
345,"76,80,84,84,84",52.15833333,0,1,1,100
346,"52,52,52,28,32",52.05833333,0,1,1,100
347,"60,60,88,92,84",52.02857143,0,1,1,100
348,"36,36,36,20,24",52.01,0,1,1,100
349,"52,48,44,16,24",51.99833333,0,1,1,100
352,"52,56,52,20,28",51.72166667,0,1,1,100
355,"36,32,28,16,24",51.615,0,1,1,100
357,"76,76,84,84,72",51.56666667,0,2,2,100
359,"24,20,28,24,24",51.33166667,0,2,2,100
360,"24,20,24,24,28",51.06333333,0,1,1,100
361,"32,24,24,16,28",50.99666667,0,1,1,100
362,"56,56,76,76,72",50.89666667,0,2,2,100
365,"56,48,44,32,36",50.82666667,1,3,4,75
368,"80,88,88,92,80",50.71166667,0,1,1,100
370,"72,68,76,76,76",50.505,0,3,3,100
372,"56,68,72,76,76",50.33166667,0,2,2,100
373,"68,72,64,68,68",50.32166667,0,3,3,100
375,"52,48,64,68,60",50.255,0,1,1,100
377,"32,20,28,16,20",49.79166667,0,1,1,100
378,"64,56,84,88,84",49.56833333,0,1,1,100
379,"60,56,24,24,28",49.55333333,0,1,1,100
382,"24,20,28,28,28",49.355,0,3,3,100
383,"44,40,24,20,24",49.26833333,0,1,1,100
386,"20,20,12,8,24",49.06166667,0,1,1,100
387,"36,32,36,72,64",49.045,0,1,1,100
389,"32,68,72,72,68",48.94666667,0,1,1,100
391,"60,40,40,24,24",48.915,0,1,1,100
392,"60,80,84,80,76",48.57166667,0,1,1,100
394,"52,60,68,72,64",48.48666667,0,5,5,100
397,"48,36,36,28,36",48.385,1,4,5,80
398,"76,76,80,76,68",48.18833333,0,1,1,100
399,"56,44,36,32,40",48.17,1,4,5,80
400,"48,48,80,84,72",48.15833333,0,1,1,100
401,"56,60,68,72,60",48.15666667,0,3,3,100
403,"44,76,80,84,72",48.05166667,0,1,1,100
405,"44,16,24,20,24",47.93666667,0,1,1,100
407,"52,56,56,72,68",47.60666667,0,4,4,100
410,"32,40,40,32,36",47.18666667,0,2,2,100
412,"36,28,32,32,32",47.045,1,4,5,80
414,"44,40,32,20,32",46.98333333,0,1,1,100
415,"64,44,36,28,32",46.95,0,1,1,100
416,"84,84,80,84,76",46.745,0,1,1,100
417,"56,64,64,76,72",46.635,1,3,4,75
420,"68,64,80,80,80",46.58,0,1,1,100
422,"20,20,20,12,16",46.47,0,1,1,100
423,"52,56,32,24,32",46.42833333,0,1,1,100
425,"60,52,56,24,32",46.00666667,0,1,1,100
426,"28,16,16,28,28",45.97333333,0,1,1,100
428,"48,64,68,60,60",45.965,0,1,1,100
